ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,BGG Rank,Complexity Average,Owned Users,Mechanics
15985,Blood Bowl: Living Rulebook,2004,2,2,120,12,3354,7,,,,
15987,Arkham Horror,2005,1,8,240,14,36786,7,,,,
63888,Innovation,2010,2,4,60,12,14865,7,,,,
195539,The Godfather: Corleone's Empire,2017,2,5,90,14,5727,7,,,,
194594,Dice Forge,2017,2,4,45,10,14853,7,,,,
40354,Maria,2009,2,3,210,14,2775,7,,,,
236191,London (Second Edition),2017,2,4,90,14,4458,7,,,,
229220,Santa Maria,2017,1,4,90,12,5220,7,,,,
79828,A Few Acres of Snow,2011,2,2,120,14,7427,7,,,,
161614,Stockpile,2015,2,5,45,13,5525,7,,,,
155987,Abyss,2014,2,4,60,14,10215,7,,,,
156546,Monikers,2015,4,16,60,17,3491,7,,,,
138161,Firefly: The Game,2013,1,4,240,13,10524,7,,,,
100901,Flash Point: Fire Rescue,2011,2,6,45,10,20947,7,,,,
215341,Thunderstone Quest,2018,2,4,90,14,3159,7,,,,
96913,Lancaster,2011,2,5,60,10,6675,7,,,,
66362,Glen More,2010,2,5,70,10,8686,7,,,,
244711,Newton,2018,1,4,90,14,4335,7,,,,
176396,Quadropolis,2016,2,4,60,8,11050,7,,,,
105134,Risk Legacy,2011,3,5,60,13,7555,7,,,,
11170,Heroscape Master Set: Rise of the Valkyrie,2004,2,4,90,8,7803,7,,,,
260428,Pandemic: Fall of Rome,2018,1,5,60,8,3858,7,,,,
151347,Millennium Blades,2016,2,5,120,12,3895,7,,,,
27162,Kingsburg,2007,2,5,90,13,18339,7,,,,
111341,The Great Zimbabwe,2012,2,5,150,14,3192,7,,,,
245934,Carpe Diem,2018,2,4,75,10,4687,7,,,,
215311,Downforce,2017,2,6,40,10,7914,7,,,,
230253,Star Realms: Frontiers,2018,1,4,45,12,2643,8,,,,
150658,Pandemic: The Cure,2014,2,5,30,8,9398,7,,,,
25417,BattleLore,2006,2,2,60,10,9091,7,,,,
137408,Amerigo,2013,2,4,90,10,5501,7,,,,
47,Chinatown,1999,3,5,60,12,8468,7,,,,
234277,Nusfjord,2017,1,5,100,12,4124,7,,,,
128671,Spartacus: A Game of Blood and Treachery,2012,3,4,180,17,7172,7,,,,
18833,Lord of the Rings: The Confrontation,2005,2,2,30,14,5656,7,,,,
157969,Sheriff of Nottingham,2014,3,5,60,14,29603,7,,,,
34219,Biblios,2007,2,4,30,10,15008,7,,,,
5404,Amun-Re,2003,3,5,90,12,8564,7,,,,
123123,BattleCON: Devastation of Indines,2013,1,5,45,10,2919,7,,,,
269210,Twice as Clever!,2019,1,4,30,10,4915,7,,,,
188866,Awkward Guests,2016,1,8,75,12,3648,7,,,,
62222,Commands & Colors: Napoleonics,2010,2,2,90,14,2644,8,,,,
192153,Pandemic: Reign of Cthulhu,2016,2,4,40,14,7890,7,,,,
128996,1775: Rebellion,2013,2,4,120,10,3712,7,,,,
92415,Skull,2011,3,6,45,10,14213,7,,,,
17226,Descent: Journeys in the Dark,2005,2,5,240,13,11319,7,,,,
712,Blood Bowl (Third Edition),1994,2,2,180,12,5267,7,,,,
146791,Shadows of Brimstone: City of the Ancients,2014,1,4,120,12,3401,7,,,,
136063,Forbidden Desert,2013,2,5,45,10,25599,7,,,,
177639,Raptor,2015,2,2,30,9,7897,7,,,,
274960,Point Salad,2019,2,6,30,8,8042,7,,,,
83330,Mansions of Madness,2011,2,5,180,13,12747,7,,,,
95527,Madeira,2013,2,4,150,12,3910,7,,,,
62227,Labyrinth: The War on Terror,,,,,,,,,,,
194607,Mystic Vale,2016,2,4,45,14,8975,7,,,,
150,PitchCar,1995,2,8,30,6,9645,7,,,,
162082,Deus,2014,2,4,90,14,7293,7,,,,
260605,Camel Up (Second Edition),2018,3,8,45,8,3744,7,,,,
65781,London,2010,2,4,90,13,6281,7,,,,
158899,Colt Express,2014,2,6,40,10,24739,7,,,,
105551,Archipelago,2012,2,5,240,14,7373,7,,,,
98778,Hanabi,2010,2,5,25,8,38927,7,,,,
372,Schotten Totten,1999,2,2,20,8,7624,7,,,,
13,Catan,1995,3,4,120,10,101510,7,,,,
127398,Legends of Andor,2012,2,4,90,10,15017,7,,,,
206941,First Class: All Aboard the Orient Express!,2016,2,4,80,10,4843,7,,,,
244271,Dice Throne: Season Two - Battle Chest,2018,2,6,40,8,2237,8,,,,
102652,Sentinels of the Multiverse,2011,2,5,60,8,14766,7,,,,
119506,Freedom: The Underground Railroad,2012,1,4,120,13,3875,7,,,,
